"x1" "y1" "x2" "y2" "trajectory_index" "cluster"
0.023255814 0.225806512 0.023255814 0.870967814 0 -2
0.139534884 0.258064372 0.069767442 0.806451721 1 -2
0.23255814 0.838709581 0.418604651 0.903225674 2 2
0.162790698 0.935483907 0.302325581 0.935483907 3 -2
0.465116279 0.580645209 1 0.290322605 4 8
1 0.290322605 0.697674419 0.193548279 4 8
0.465116279 0.580645209 0.279069767 0.258064372 5 -2
0.279069767 0.258064372 1 0.032258233 5 5
0.976744186 0.645161302 0.744186047 0.129032186 6 -2
0.976744186 0.645161302 0.953488372 0.225806512 7 8
0.930232558 0.258064372 0.88372093 0.193548279 8 -2
0.930232558 0.258064372 1 0.032258233 9 8
0.976744186 0.903225674 0.88372093 0.516129116 10 -2
0.069767442 0.806451721 0.372093023 0.193548279 11 -2
0.930232558 0.774193488 0.953488372 0.161290419 12 6
0.976744186 0.774193488 1 0.483870884 13 -2
0.906976744 0.870967814 0.837209302 0.451613023 14 -2
0.558139535 0.967741767 0.558139535 0.774193488 15 1
0.744186047 0.903225674 0.488372093 0.870967814 16 -2
0.744186047 0.903225674 0.139534884 0.387096558 17 -2
0.627906977 0.935483907 0.511627907 0.838709581 18 -2
0 0.258064372 0.488372093 0.290322605 19 -2
0.651162791 0.967741767 0.465116279 0.903225674 20 -2
0.697674419 0.903225674 0.325581395 0.709677395 21 -2
0.023255814 0.806451721 0.906976744 0.741935256 22 -2
0.093023256 0.967741767 0.976744186 0.838709581 23 -2
1 1 0.581395349 0.741935256 24 -2
0.023255814 1 0.023255814 0.354838698 25 -2
0.744186047 0 0.11627907 0.677419163 26 -2
0.744186047 0 0.744186047 0.967741767 27 -2
0.744186047 0.967741767 0.302325581 0.548386977 27 -2
0.744186047 0 0.302325581 0.806451721 28 -2
0.302325581 0.806451721 0.325581395 0.838709581 28 -2
0.744186047 0 0.139534884 0.709677395 29 -2
0.744186047 0 0.162790698 0.806451721 30 -2
0.302325581 1 0.162790698 0.225806512 31 -2
0.744186047 0 0.325581395 0.516129116 32 -2
0.023255814 0.806451721 0.069767442 0.806451721 33 -2
0.76744186 0.935483907 0.209302326 0.354838698 34 -2
0.209302326 0.354838698 0.255813953 0.096774326 34 -2
0.744186047 0.903225674 0.23255814 0.774193488 35 -2
0.023255814 0.741935256 0.511627907 0 36 -3
0.023255814 0.741935256 0 0.322580465 37 -3
0.023255814 0.741935256 0.069767442 0.806451721 38 -3
0.837209302 0.967741767 0.976744186 0.322580465 39 -2
0.837209302 0.967741767 0.837209302 0.258064372 40 -2
0.837209302 0.967741767 0.976744186 0.193548279 41 -2
0.837209302 0.967741767 0.953488372 0.225806512 42 8
0.023255814 0.806451721 0.046511628 0.774193488 43 -3
0.837209302 0.967741767 0.976744186 0.516129116 44 -2
0.837209302 0.967741767 0.976744186 0.774193488 45 -2
0.837209302 0.774193488 0.953488372 1 46 -2
0.837209302 0.774193488 1 1 47 -2
0.837209302 0.774193488 0.976744186 0.903225674 48 -2
0.837209302 0.774193488 1 1 49 -2
0.744186047 0 0.76744186 0.741935256 50 -2
0.76744186 0.741935256 0.627906977 0.354838698 50 -2
0.744186047 0 0.604651163 0.903225674 51 7
0.604651163 0.903225674 0.674418605 0.419354791 51 7
0.744186047 0.967741767 0.302325581 0.806451721 52 -2
0.302325581 0.806451721 0.162790698 0.806451721 52 -2
0.906976744 1 0.744186047 0 53 -2
0.744186047 0 0.23255814 0.774193488 53 -2
0.023255814 0.806451721 0.069767442 0.806451721 54 -2
0.744186047 0.903225674 0.930232558 0.838709581 55 -2
0.209302326 0.548386977 0.162790698 0.354838698 56 -2
0.604651163 0.516129116 0.813953488 0.483870884 57 -2
0 0.258064372 0.139534884 0.064516093 58 -2
0.976744186 0.387096558 0.953488372 0.161290419 59 6
0.581395349 0.935483907 0.604651163 0.322580465 60 -2
0.813953488 0.61290307 0.976744186 0.838709581 61 -2
0.069767442 0.161290419 0.209302326 0.161290419 62 -2
0.139534884 0.387096558 0.302325581 0.225806512 63 -2
0.139534884 0.387096558 0.139534884 0.193548279 64 -2
0.813953488 0.225806512 0.674418605 0.61290307 65 -2
0 0.709677395 0.162790698 0.290322605 66 -3
0.11627907 0.419354791 0.11627907 0.161290419 67 -2
